slide_num,positive,negative,total,select_prop
A1034,1411.0,9631.0,11042.0,0.12778482159029161
A22,2837.0,19870.0,22707.0,0.12493944598581935
A471,1962.0,14040.0,16002.0,0.12260967379077616
A592,2152.0,13468.0,15620.0,0.1377720870678617
A406,3923.0,12486.0,16409.0,0.23907611676518983
A241,2403.0,3581.0,5984.0,0.40157085561497324
A606,3504.0,14387.0,17891.0,0.19585266335028786
A792,1066.0,7980.0,9046.0,0.11784214017245191
A776,2693.0,6278.0,8971.0,0.3001894994983837
A798,928.0,6286.0,7214.0,0.1286387579706127
A331,1734.0,14601.0,16335.0,0.1061524334251607
A475,1865.0,10946.0,12811.0,0.1455780188900164
A402,5386.0,8770.0,14156.0,0.38047471037016106
A858,539.0,18168.0,18707.0,0.028812743892660503
A596,2401.0,22273.0,24674.0,0.09730890816243819
A26,4080.0,13468.0,17548.0,0.23250512878960566
A1047,1026.0,8656.0,9682.0,0.10596984094195414
A1030,6921.0,5599.0,12520.0,0.5527955271565496
A148,3402.0,19871.0,23273.0,0.1461779744768616
A135,4527.0,22133.0,26660.0,0.16980495123780945
A408,2256.0,5011.0,7267.0,0.31044447502408146
A852,5566.0,14266.0,19832.0,0.2806575231948366
A491,4758.0,9087.0,13845.0,0.3436619718309859
A1140,351.0,19759.0,20110.0,0.017454002983590254
A643,2891.0,15593.0,18484.0,0.15640553992642287
A204,1329.0,14452.0,15781.0,0.08421519548824535
A390,775.0,13104.0,13879.0,0.05583975790763023
A273,673.0,15481.0,16154.0,0.04166150798563823
A374,5193.0,12243.0,17436.0,0.2978320715760496
A744,8192.0,9547.0,17739.0,0.46180731721066576
A1002,4340.0,6842.0,11182.0,0.3881237703451976
A430,5206.0,14950.0,20156.0,0.2582853740821592
A989,1190.0,7333.0,8523.0,0.13962219875630646
A447,7481.0,16654.0,24135.0,0.30996478143774603
A967,2801.0,9765.0,12566.0,0.22290307178099633
A1172,971.0,10115.0,11086.0,0.08758794876420711
A983,651.0,18098.0,18749.0,0.034721851832097715
A817,2466.0,11881.0,14347.0,0.17188262354499198
A322,2599.0,19282.0,21881.0,0.1187788492299255
A355,3033.0,17654.0,20687.0,0.14661381543964808
A668,1726.0,12566.0,14292.0,0.1207668625804646
A662,1586.0,11660.0,13246.0,0.11973425939906387
A615,3963.0,17013.0,20976.0,0.18893020594965676
A718,786.0,17521.0,18307.0,0.042934396678866005
A482,3404.0,21323.0,24727.0,0.137663283050916
A841,1619.0,17536.0,19155.0,0.08452101279039416
A836,1154.0,17114.0,18268.0,0.06317057149113203
A1124,1331.0,14775.0,16106.0,0.08264000993418602
A1153,1213.0,13997.0,15210.0,0.07975016436554898
A1029,909.0,15305.0,16214.0,0.05606266189712594
A151,2424.0,24048.0,26472.0,0.09156844968268359
A931,2419.0,11270.0,13689.0,0.17671122799327926
A946,2351.0,10184.0,12535.0,0.187554846429996
A488,8632.0,7113.0,15745.0,0.5482375357256272
A466,2582.0,11232.0,13814.0,0.18691182857970176
A1159,1787.0,17631.0,19418.0,0.09202801524358842
A1023,2719.0,10675.0,13394.0,0.2030013438853218
A757,3490.0,16913.0,20403.0,0.17105327647894916
A367,4531.0,20211.0,24742.0,0.1831299005739229
A217,2169.0,15444.0,17613.0,0.12314767501277465
A383,2679.0,7522.0,10201.0,0.26262131163611413
A627,2266.0,10650.0,12916.0,0.17544131310003097
A1215,1685.0,14933.0,16618.0,0.10139607654350705
A163,1070.0,18573.0,19643.0,0.0544723311103192
A1161,604.0,15777.0,16381.0,0.03687198583725047
A1082,4778.0,5533.0,10311.0,0.46338861410144505
A1116,2094.0,15652.0,17746.0,0.11799842217964612
A990,5736.0,6760.0,12496.0,0.45902688860435337
A429,5303.0,14529.0,19832.0,0.26739612747075436
A1066,3433.0,11388.0,14821.0,0.23163079414344512
A974,746.0,3103.0,3849.0,0.19381657573395686
A423,2294.0,17734.0,20028.0,0.11453964449770322
A454,1513.0,11409.0,12922.0,0.11708713821389878
A169,4771.0,11789.0,16560.0,0.2881038647342995
A113,2232.0,16105.0,18337.0,0.12172111032338986
A1111,779.0,14299.0,15078.0,0.05166467701286643
A803,1497.0,20650.0,22147.0,0.06759380503002664
A459,3104.0,19678.0,22782.0,0.13624791502063033
A997,865.0,13470.0,14335.0,0.0603418207185211
A554,823.0,14862.0,15685.0,0.05247051322919987
A1016,2530.0,9271.0,11801.0,0.2143886111346496
A99,5647.0,14377.0,20024.0,0.282011586096684
A809,2466.0,17736.0,20202.0,0.12206712206712207
A453,3241.0,9283.0,12524.0,0.2587831363781539
A424,2093.0,16624.0,18717.0,0.1118234759843992
A180,6103.0,21017.0,27120.0,0.2250368731563422
A727,2293.0,17649.0,19942.0,0.1149834520108314
A750,2059.0,22805.0,24864.0,0.08281048906048906
A1315,826.0,7437.0,8263.0,0.09996369357376256
A317,3720.0,17128.0,20848.0,0.17843438219493477
A360,3922.0,19910.0,23832.0,0.16456864719704598
A384,1112.0,3674.0,4786.0,0.2323443376514835
A657,3641.0,13968.0,17609.0,0.20676926571639503
A620,1933.0,24479.0,26412.0,0.0731864304104195
A588,2764.0,24787.0,27551.0,0.10032303727632391
A846,1043.0,17741.0,18784.0,0.055525979557069845
A485,3313.0,16048.0,19361.0,0.17111719435979547
A1059,2968.0,17024.0,19992.0,0.1484593837535014
A1154,1481.0,11666.0,13147.0,0.11264927359853959
A156,5131.0,15539.0,20670.0,0.2482341557813256
A121,1051.0,20120.0,21171.0,0.04964338009541354
A461,5878.0,9777.0,15655.0,0.3754710954966464
A941,4237.0,7584.0,11821.0,0.3584299128669317
A936,1242.0,13266.0,14508.0,0.08560794044665013
A1024,3642.0,16036.0,19678.0,0.18507978453094825
A1053,477.0,20058.0,20535.0,0.02322863403944485
A1129,911.0,13539.0,14450.0,0.06304498269896194
A352,386.0,11424.0,11810.0,0.032684165961049956
A1327,862.0,5303.0,6165.0,0.13982157339821574
A762,1303.0,12816.0,14119.0,0.09228698916353849
A1220,5775.0,16729.0,22504.0,0.2566210451475293
A768,1505.0,11887.0,13392.0,0.1123805256869773
A612,762.0,15362.0,16124.0,0.04725874472835525
A665,214.0,18209.0,18423.0,0.011615914888997448
A358,3066.0,5330.0,8396.0,0.3651738923296808
A9,2468.0,7535.0,10003.0,0.2467259822053384
A1108,424.0,15233.0,15657.0,0.027080539056013285
A1005,2211.0,12544.0,14755.0,0.14984750931887494
A883,896.0,21284.0,22180.0,0.040396753832281335
A13,928.0,10054.0,10982.0,0.08450191221999635
A960,1687.0,14212.0,15899.0,0.1061073023460595
A440,2564.0,18201.0,20765.0,0.12347700457500602
A437,11160.0,8213.0,19373.0,0.5760594642027564
A1102,364.0,16668.0,17032.0,0.02137153593236261
A1175,453.0,10346.0,10799.0,0.04194832854893972
A810,5657.0,11804.0,17461.0,0.3239791535421797
A3,2147.0,11074.0,13221.0,0.1623931623931624
A177,3183.0,20072.0,23255.0,0.1368737905826704
A199,3511.0,9154.0,12665.0,0.27722068693249113
A1201,5446.0,10870.0,16316.0,0.3337827898994852
A274,732.0,9356.0,10088.0,0.07256145915939731
A397,4718.0,7401.0,12119.0,0.3893060483538246
A203,4259.0,13708.0,17967.0,0.23704569488506708
A209,944.0,20371.0,21315.0,0.04428806005160685
A373,6550.0,12489.0,19039.0,0.3440306738799307
A639,4512.0,11466.0,15978.0,0.28238828389034926
A734,7792.0,13425.0,21217.0,0.3672526747419522
A743,2355.0,18158.0,20513.0,0.11480524545410227
A1306,893.0,6752.0,7645.0,0.11680837148463048
A952,537.0,9843.0,10380.0,0.051734104046242776
A405,6006.0,7424.0,13430.0,0.4472077438570365
A472,3595.0,20549.0,24144.0,0.14889827700463884
A828,1165.0,16353.0,17518.0,0.06650302545952734
A1037,1257.0,16694.0,17951.0,0.07002395409726478
A1040,976.0,20643.0,21619.0,0.04514547388870901
A138,3431.0,18589.0,22020.0,0.15581289736603088
A145,4824.0,14714.0,19538.0,0.24690347016071246
A958,2202.0,15153.0,17355.0,0.12687986171132237
A478,4373.0,8128.0,12501.0,0.3498120150387969
A822,1878.0,14089.0,15967.0,0.11761758627168535
A1147,3107.0,16642.0,19749.0,0.1573244214896957
A1130,2763.0,18883.0,21646.0,0.12764483045366348
A231,5730.0,12157.0,17887.0,0.32034438418963496
A795,1378.0,19731.0,21109.0,0.06528021223174948
A1239,8839.0,12162.0,21001.0,0.4208847197752488
A771,748.0,15435.0,16183.0,0.04622134338503368
A341,5177.0,20407.0,25584.0,0.20235303314571607
A336,3004.0,19257.0,22261.0,0.13494452180944252
A631,5595.0,18828.0,24423.0,0.22908733570814396
A395,2845.0,14867.0,17712.0,0.16062556458897922
A201,3986.0,6135.0,10121.0,0.39383460132397985
A292,992.0,7199.0,8191.0,0.12110853375656208
A371,5243.0,17452.0,22695.0,0.23102004846882573
A108,6239.0,18237.0,24476.0,0.2549027618891976
A962,3368.0,11757.0,15125.0,0.22267768595041323
A538,6215.0,8135.0,14350.0,0.4331010452961672
A442,2201.0,6169.0,8370.0,0.26296296296296295
A1007,999.0,10259.0,11258.0,0.08873689820572038
A812,4193.0,19732.0,23925.0,0.17525600835945662
A448,6821.0,18937.0,25758.0,0.2648109325258172
A986,3053.0,13427.0,16480.0,0.18525485436893205
A1100,5347.0,16273.0,21620.0,0.2473172987974098
A1177,572.0,13788.0,14360.0,0.039832869080779945
A1199,1219.0,5017.0,6236.0,0.19547787042976267
A102,4550.0,5360.0,9910.0,0.4591321897073663
A233,1684.0,13673.0,15357.0,0.10965683401706063
A244,4204.0,13739.0,17943.0,0.2342974976313883
A349,2040.0,19123.0,21163.0,0.09639465104191278
A797,1951.0,14019.0,15970.0,0.1221665623043206
A603,9345.0,9661.0,19006.0,0.49168683573608335
A674,1417.0,13098.0,14515.0,0.097623148467103
A609,6050.0,10641.0,16691.0,0.3624707926427416
A239,3791.0,8638.0,12429.0,0.305012470834339
A343,2814.0,19100.0,21914.0,0.12841106142192205
A334,3987.0,19992.0,23979.0,0.16627048667584135
A593,3594.0,19885.0,23479.0,0.15307295881425956
A147,12051.0,13227.0,25278.0,0.4767386660337052
A130,6605.0,13032.0,19637.0,0.336354840352396
A1132,1770.0,11637.0,13407.0,0.13202058626090848
A1048,3918.0,14487.0,18405.0,0.21287693561532192
A29,4838.0,15554.0,20392.0,0.23724990192232248
A494,4799.0,16381.0,21180.0,0.2265816808309726
A820,2877.0,3421.0,6298.0,0.45681168624960306
A628,3956.0,16157.0,20113.0,0.1966887087953065
A362,1222.0,5145.0,6367.0,0.19192712423433328
A368,2563.0,5563.0,8126.0,0.31540733448190994
A265,1388.0,17318.0,18706.0,0.07420079118999251
A386,2628.0,17987.0,20615.0,0.12747999029832646
A212,957.0,6417.0,7374.0,0.12978030919446704
A758,792.0,19383.0,20175.0,0.039256505576208175
A655,826.0,15152.0,15978.0,0.051696082112905245
A622,3031.0,15604.0,18635.0,0.1626509256774886
A166,611.0,12728.0,13339.0,0.04580553264862434
A876,709.0,9141.0,9850.0,0.07197969543147208
A801,2522.0,13244.0,15766.0,0.15996448052771786
A1069,2198.0,14776.0,16974.0,0.12949216448686227
A1113,837.0,10984.0,11821.0,0.07080619236951188
A426,380.0,13942.0,14322.0,0.02653260717776847
A971,2688.0,19372.0,22060.0,0.12184950135992748
A1063,3431.0,14383.0,17814.0,0.19260132480071854
A1014,2190.0,20535.0,22725.0,0.09636963696369637
A1119,1965.0,17332.0,19297.0,0.1018292998911748
A350,1874.0,11694.0,13568.0,0.1381191037735849
A760,2444.0,14860.0,17304.0,0.1412390198797966
A717,2332.0,18219.0,20551.0,0.1134737968955282
A610,8835.0,14038.0,22873.0,0.38626327984960435
A667,980.0,5510.0,6490.0,0.1510015408320493
A220,4683.0,16336.0,21019.0,0.22279842047671156
A257,1851.0,6969.0,8820.0,0.2098639455782313
A1156,1924.0,10834.0,12758.0,0.15080733657313058
A1121,299.0,16834.0,17133.0,0.017451701394968773
A833,4434.0,15146.0,19580.0,0.2264555669050051
A844,6023.0,14400.0,20423.0,0.29491259854086077
A487,2669.0,3778.0,6447.0,0.4139910035675508
A949,2872.0,11671.0,14543.0,0.19748332531114626
A154,5062.0,18466.0,23528.0,0.21514790887453247
A123,5419.0,13701.0,19120.0,0.2834205020920502
A129,4425.0,18562.0,22987.0,0.1925001087571236
A463,1833.0,22576.0,24409.0,0.07509525175140318
A839,2202.0,21809.0,24011.0,0.09170796718170839
A519,7412.0,9115.0,16527.0,0.4484782477158589
A943,3398.0,5070.0,8468.0,0.40127538970240906
A934,800.0,7764.0,8564.0,0.09341429238673517
A1151,2465.0,8672.0,11137.0,0.22133429110173297
A514,3876.0,13851.0,17727.0,0.21864951768488747
A843,1271.0,18089.0,19360.0,0.065650826446281
A834,3497.0,13602.0,17099.0,0.20451488391133985
A124,4024.0,4211.0,8235.0,0.4886460230722526
A153,2256.0,10428.0,12684.0,0.17786187322611163
A159,4742.0,21867.0,26609.0,0.1782103799466346
A1056,756.0,12037.0,12793.0,0.05909481747830845
A944,538.0,13009.0,13547.0,0.03971358972466229
A413,4087.0,8444.0,12531.0,0.3261511451600032
A320,1140.0,11740.0,12880.0,0.08850931677018634
A357,4861.0,15904.0,20765.0,0.23409583433662412
A789,1507.0,5888.0,7395.0,0.20378634212305613
A767,2662.0,15470.0,18132.0,0.14681226560776528
A660,495.0,18695.0,19190.0,0.02579468473163106
A617,2022.0,21076.0,23098.0,0.087540046757295
A783,2709.0,15567.0,18276.0,0.14822718319107026
A227,6114.0,13077.0,19191.0,0.3185868375801157
A161,5025.0,17449.0,22474.0,0.22359170597134467
A806,2566.0,15986.0,18552.0,0.1383139284174213
A1080,2563.0,17980.0,20543.0,0.1247626928880884
A1114,1355.0,12559.0,13914.0,0.09738392985482248
A1019,908.0,8540.0,9448.0,0.09610499576629974
A976,1637.0,13615.0,15252.0,0.10733018620508786
A901,842.0,12849.0,13691.0,0.061500255642392816
A456,3302.0,8883.0,12185.0,0.27098892080426756
A1169,5516.0,12893.0,18409.0,0.2996360475854202
A1013,4584.0,15817.0,20401.0,0.2246948678986324
A658,8952.0,17347.0,26299.0,0.3403931708429978
A755,1220.0,13463.0,14683.0,0.0830892869304638
A722,3016.0,14959.0,17975.0,0.16778859527121
A365,213.0,20205.0,20418.0,0.010431971789597413
A381,5531.0,15664.0,21195.0,0.2609577730596839
A1032,3303.0,18235.0,21538.0,0.1533568576469496
A477,5826.0,16110.0,21936.0,0.26559080962800874
A594,1976.0,24135.0,26111.0,0.07567691777411818
A957,2453.0,12085.0,14538.0,0.16873022423992295
A137,5914.0,12482.0,18396.0,0.3214829310719722
A140,2667.0,18432.0,21099.0,0.12640409498080477
A1038,2522.0,8180.0,10702.0,0.2356568865632592
A1135,1971.0,15533.0,17504.0,0.11260283363802559
A1142,288.0,19298.0,19586.0,0.014704380680077607
A827,1491.0,7270.0,8761.0,0.17018605182056842
A493,4308.0,13388.0,17696.0,0.24344484629294755
A59,1476.0,6717.0,8193.0,0.18015378982057853
A507,986.0,3648.0,4634.0,0.2127751402675874
A570,10973.0,8317.0,19290.0,0.5688439606013479
A234,3355.0,9878.0,13233.0,0.25353283458021614
A673,5142.0,15365.0,20507.0,0.25074364851026476
A790,1737.0,15337.0,17074.0,0.10173363008082464
A1236,6064.0,14244.0,20308.0,0.29860153634035846
A774,2519.0,9848.0,12367.0,0.2036872321500768
A333,1301.0,9949.0,11250.0,0.11564444444444444
A344,5662.0,15126.0,20788.0,0.27236867423513567
A178,5110.0,8294.0,13404.0,0.38122948373619814
A445,3969.0,18152.0,22121.0,0.179422268432711
A886,1896.0,13758.0,15654.0,0.12111920275967804
A548,2636.0,9041.0,11677.0,0.2257429134195427
A1099,1990.0,19136.0,21126.0,0.09419672441541228
A981,1482.0,15379.0,16861.0,0.08789514263685427
A815,824.0,16453.0,17277.0,0.04769346530068878
A862,968.0,9495.0,10463.0,0.09251648666730383
A438,3693.0,21972.0,25665.0,0.14389246054938631
A542,1366.0,9088.0,10454.0,0.13066768700975703
A535,2676.0,11318.0,13994.0,0.1912248106331285
A1170,603.0,15420.0,16023.0,0.03763340198464707
A1093,2047.0,3569.0,5616.0,0.364494301994302
A172,5157.0,19284.0,24441.0,0.21099791334233461
A105,8064.0,17078.0,25142.0,0.32073820698432903
A636,4316.0,19791.0,24107.0,0.17903513502302235
A206,9145.0,15783.0,24928.0,0.36685654685494223
A392,3953.0,11265.0,15218.0,0.25975818110132737
A398,2746.0,13232.0,15978.0,0.1718613093002879
A731,223.0,25757.0,25980.0,0.008583525789068513
A176,5893.0,13189.0,19082.0,0.30882507074730114
A531,1742.0,7563.0,9305.0,0.18721117678667384
A811,1239.0,17086.0,18325.0,0.067612551159618
A985,1255.0,17976.0,19231.0,0.06525921688939733
A1109,4343.0,13424.0,17767.0,0.24444194292790003
A1004,3359.0,9108.0,12467.0,0.26943129862837895
A12,1877.0,11395.0,13272.0,0.14142555756479808
A882,850.0,6463.0,7313.0,0.11623136879529605
A916,3024.0,6627.0,9651.0,0.31333540565744483
A441,4996.0,10455.0,15451.0,0.3233447673289755
A742,1215.0,21755.0,22970.0,0.05289508053983457
A735,1529.0,13307.0,14836.0,0.10306012402264761
A1307,320.0,6755.0,7075.0,0.045229681978798585
A208,4302.0,11752.0,16054.0,0.26797059922760685
A372,4909.0,13303.0,18212.0,0.2695475510652317
A396,3897.0,3642.0,7539.0,0.5169120573020295
A378,3035.0,20926.0,23961.0,0.12666416259755436
A632,2084.0,23321.0,25405.0,0.08203109624089747
A1146,2543.0,20389.0,22932.0,0.11089307517878946
A133,9433.0,9301.0,18734.0,0.5035230062987083
A509,1564.0,17623.0,19187.0,0.08151352478240476
A953,1041.0,11942.0,12983.0,0.08018177616883616
A590,2129.0,14222.0,16351.0,0.13020610360222618
A404,2171.0,18935.0,21106.0,0.10286174547522031
A1036,1853.0,17446.0,19299.0,0.09601533758225815
A337,3398.0,19600.0,22998.0,0.14775197843290722
A770,1945.0,12781.0,14726.0,0.13207931549640092
A794,5544.0,7500.0,13044.0,0.4250229990800368
A600,2526.0,13522.0,16048.0,0.15740279162512463
A230,3804.0,4638.0,8442.0,0.4506041222459133
A1017,3966.0,8073.0,12039.0,0.32942935459755796
A1060,7523.0,8215.0,15738.0,0.47801499555216675
A425,2457.0,13190.0,15647.0,0.1570269061161884
A808,1234.0,19191.0,20425.0,0.06041615667074664
A1110,1948.0,18639.0,20587.0,0.09462282022635644
A978,824.0,7148.0,7972.0,0.10336176618163573
A522,4955.0,13526.0,18481.0,0.2681131973378064
A165,4843.0,13382.0,18225.0,0.26573388203017834
A621,2067.0,14275.0,16342.0,0.1264839064985926
A656,1101.0,23299.0,24400.0,0.04512295081967213
A385,2013.0,5058.0,7071.0,0.28468392023759015
A361,8837.0,18119.0,26956.0,0.32783053865558687
A751,4781.0,17775.0,22556.0,0.21196134066323816
A726,3789.0,12089.0,15878.0,0.23863206953016752
A1219,5681.0,21176.0,26857.0,0.2115277208921324
A460,2351.0,8637.0,10988.0,0.21396068438296323
A1025,3779.0,9663.0,13442.0,0.2811337598571641
A847,2860.0,16557.0,19417.0,0.147293608693413
A589,7644.0,14111.0,21755.0,0.35136750172374165
A830,1848.0,14333.0,16181.0,0.1142080217539089
